"","X1","Date","Block","IUCR","Description","Arrest","Domestic","Beat","District","Ward","Year","Latitude","Longitude","date.only","hr","day.of.week","street.type","Primary.Type","Community.Area","FBI.Code","Location.Description"
"29",29,2018-01-15 16:50:00,"052XX W ADDISON ST","0910","AUTOMOBILE","No","No","1634","016","38",2018,41.945993442,-87.757534561,2018-01-15,"16","Monday","ST","MOTOR VEHICLE THEFT","15","07","STREET"
"30",30,2018-08-04 22:07:00,"094XX S DR MARTIN LUTHER KING JR DR","1320","TO VEHICLE","No","No","0633","006","6",2018,41.723020359,-87.614172813,2018-08-04,"22","Saturday","DR","CRIMINAL DAMAGE","49","14","STREET"
"31",31,2018-04-19 12:00:00,"131XX S BALTIMORE AVE","0486","DOMESTIC BATTERY SIMPLE","No","Yes","0433","004","10",2018,41.656635079,-87.547136833,2018-04-19,"12","Thursday","AVE","BATTERY","55","08B","APARTMENT"
"32",32,2018-06-12 12:00:00,"050XX W MADISON ST","0610","FORCIBLE ENTRY","No","No","1533","015","28",2018,41.880421496,-87.751308168,2018-06-12,"12","Tuesday","ST","BURGLARY","25","05","OTHER"
"33",33,2018-06-05 19:49:00,"046XX S WHIPPLE ST","1320","TO VEHICLE","No","No","0922","009","14",2018,41.80954479,-87.700355224,2018-06-05,"19","Tuesday","ST","CRIMINAL DAMAGE","58","14","STREET"
"34",34,2018-06-16 12:45:00,"030XX W ROOSEVELT RD","1710","ENDANGERING LIFE/HEALTH CHILD","No","No","1022","010","24",2018,41.866438916,-87.70234588,2018-06-16,"12","Saturday","RD","OFFENSE INVOLVING CHILDREN","29","20","PARK PROPERTY"
"35",35,2018-10-29 18:17:00,"086XX S VERNON AVE","0810","OVER $500","No","No","0632","006","6",2018,41.737620589,-87.612936407,2018-10-29,"18","Monday","AVE","THEFT","44","06","RESIDENCE PORCH/HALLWAY"
"36",36,2018-08-12 11:12:00,"065XX N FRANCISCO AVE","2820","TELEPHONE THREAT","No","No","2412","024","50",2018,42.000114426,-87.702156389,2018-08-12,"11","Sunday","AVE","OTHER OFFENSE","2","26","RESIDENCE"
"37",37,2018-02-09 18:23:00,"012XX N MILWAUKEE AVE","0860","RETAIL THEFT","No","No","1433","014","1",2018,41.904285353,-87.667927579,2018-02-09,"18","Friday","AVE","THEFT","24","06","OTHER"
"38",38,2018-07-21 00:03:00,"012XX N CLEVELAND AVE","051A","AGGRAVATED: HANDGUN","No","No","1821","018","27",2018,41.903863542,-87.641137807,2018-07-21,"0","Saturday","AVE","ASSAULT","8","04A","STREET"
"39",39,2018-05-04 14:14:00,"011XX W ARGYLE ST","2023","POSS: HEROIN(BRN/TAN)","Yes","No","2033","020","48",2018,41.973265231,-87.658266541,2018-05-04,"14","Friday","ST","NARCOTICS","3","18","SIDEWALK"
"40",40,2018-08-14 22:50:00,"011XX S INDEPENDENCE BLVD","0454","AGG PO HANDS NO/MIN INJURY","Yes","No","1133","011","24",2018,41.866792814,-87.719542592,2018-08-14,"22","Tuesday","BLVD","BATTERY","29","08B","GROCERY FOOD STORE"
"41",41,2018-11-14 10:30:00,"082XX S SANGAMON ST","0910","AUTOMOBILE","No","No","0613","006","21",2018,41.744407479,-87.647503255,2018-11-14,"10","Wednesday","ST","MOTOR VEHICLE THEFT","71","07","ALLEY"
"42",42,2018-10-21 04:30:00,"057XX S WINCHESTER AVE","0910","AUTOMOBILE","No","No","0715","007","15",2018,41.789349064,-87.672960458,2018-10-21,"4","Sunday","AVE","MOTOR VEHICLE THEFT","67","07","STREET"
"43",43,2018-07-24 22:12:00,"028XX S HILLOCK AVE","1210","THEFT OF LABOR/SERVICES","No","No","0913","009","11",2018,41.843506684,-87.660083677,2018-07-24,"22","Tuesday","AVE","DECEPTIVE PRACTICE","60","11","TAXICAB"
"44",45,2018-08-22 11:20:00,"079XX S LUELLA AVE","0620","UNLAWFUL ENTRY","No","No","0414","004","7",2018,41.75119031,-87.569878083,2018-08-22,"11","Wednesday","AVE","BURGLARY","46","05","RESIDENCE"
"45",46,2018-11-03 08:15:00,"083XX S MERRILL AVE","0326","AGGRAVATED VEHICULAR HIJACKING","No","No","0412","004","7",2018,41.743428278,-87.572186934,2018-11-03,"8","Saturday","AVE","ROBBERY","46","03","STREET"
"46",47,2018-02-28 17:21:00,"016XX W 47TH ST","0860","RETAIL THEFT","No","No","0924","009","3",2018,41.80859321,-87.665577234,2018-02-28,"17","Wednesday","ST","THEFT","61","06","DRUG STORE"
"47",48,2018-11-07 17:30:00,"001XX E 123RD ST","1130","FRAUD OR CONFIDENCE GAME","No","No","0532","005","9",2018,41.670792249,-87.61844388,2018-11-07,"17","Wednesday","ST","DECEPTIVE PRACTICE","53","11","RESIDENCE"
"48",49,2018-11-25 22:54:00,"016XX W WABANSIA AVE","0486","DOMESTIC BATTERY SIMPLE","No","Yes","1433","014","32",2018,41.912441933,-87.668526221,2018-11-25,"22","Sunday","AVE","BATTERY","24","08B","RESIDENCE"
"49",50,2018-06-27 08:50:00,"039XX W DIVISION ST","0496","AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST","No","Yes","2535","025","27",2018,41.902680409,-87.725421722,2018-06-27,"8","Wednesday","ST","BATTERY","23","04B","APARTMENT"
"50",51,2018-12-19 18:21:00,"047XX W NORTH AVE","0460","SIMPLE","No","No","2533","025","37",2018,41.909636288,-87.745300725,2018-12-19,"18","Wednesday","AVE","BATTERY","25","08B","DRUG STORE"
"51",52,2018-03-11 16:31:00,"078XX S PULASKI RD","0820","$500 AND UNDER","No","No","0834","008","13",2018,41.750911901,-87.721956083,2018-03-11,"16","Sunday","RD","THEFT","70","06","CONVENIENCE STORE"
"52",53,2018-06-26 22:00:00,"017XX W CHASE AVE","0460","SIMPLE","No","Yes","2423","024","49",2018,42.013787643,-87.673182834,2018-06-26,"22","Tuesday","AVE","BATTERY","1","08B","RESIDENCE"
"53",54,2018-12-05 14:00:00,"085XX S BURNHAM AVE","0620","UNLAWFUL ENTRY","No","No","0423","004","7",2018,41.74029796,-87.556336345,2018-12-05,"14","Wednesday","AVE","BURGLARY","46","05","RESIDENCE"
"54",55,2018-04-07 21:00:00,"070XX S ARTESIAN AVE","0420","AGGRAVATED:KNIFE/CUTTING INSTR","No","No","0832","008","17",2018,41.765800136,-87.684495611,2018-04-07,"21","Saturday","AVE","BATTERY","66","04B","APARTMENT"
"55",56,2018-01-23 12:14:00,"076XX S KINGSTON AVE","2820","TELEPHONE THREAT","No","Yes","0421","004","7",2018,41.756710512,-87.562691493,2018-01-23,"12","Tuesday","AVE","OTHER OFFENSE","43","26","STREET"
"56",57,2018-05-04 17:00:00,"009XX E 104TH ST","0810","OVER $500","No","Yes","0512","005","9",2018,41.705680106,-87.600878419,2018-05-04,"17","Friday","ST","THEFT","50","06","RESIDENCE PORCH/HALLWAY"
"57",58,2018-06-23 06:00:00,"019XX S PULASKI RD","0820","$500 AND UNDER","No","No","1014","010","24",2018,41.854241257,-87.724827169,2018-06-23,"6","Saturday","RD","THEFT","29","06","STREET"
"58",59,2018-12-12 18:00:00,"0000X S WABASH AVE","0890","FROM BUILDING","No","No","0112","001","42",2018,41.881703396,-87.626203588,2018-12-12,"18","Wednesday","AVE","THEFT","32","06","HOTEL/MOTEL"
"59",60,2018-05-11 10:15:00,"037XX W IRVING PARK RD","0810","OVER $500","No","No","1723","017","39",2018,41.953743379,-87.720992034,2018-05-11,"10","Friday","RD","THEFT","16","06","STREET"
"60",61,2018-02-21 19:00:00,"042XX N LINCOLN AVE","0810","OVER $500","No","No","1911","019","47",2018,41.958144775,-87.681555442,2018-02-21,"19","Wednesday","AVE","THEFT","5","06","STREET"
"61",62,2018-12-23 17:00:00,"001XX N STATE ST","0860","RETAIL THEFT","No","No","0111","001","42",2018,41.883500187,-87.627876698,2018-12-23,"17","Sunday","ST","THEFT","32","06","DEPARTMENT STORE"
"62",63,2018-07-16 17:08:00,"0000X E OHIO ST","0460","SIMPLE","No","No","1834","018","42",2018,41.8924816,-87.627351831,2018-07-16,"17","Monday","ST","BATTERY","8","08B","HOTEL/MOTEL"
"63",64,2018-08-24 19:00:00,"123XX S INDIANA AVE","1320","TO VEHICLE","No","No","0532","005","9",2018,41.669937585,-87.617373602,2018-08-24,"19","Friday","AVE","CRIMINAL DAMAGE","53","14","VEHICLE NON-COMMERCIAL"
"64",65,2018-10-05 06:30:00,"013XX W RANDOLPH ST","0820","$500 AND UNDER","No","No","1224","012","27",2018,41.884287279,-87.661660805,2018-10-05,"6","Friday","ST","THEFT","28","06","STREET"
"65",66,2018-01-11 11:10:00,"043XX W WILCOX ST","051A","AGGRAVATED: HANDGUN","Yes","No","1115","011","28",2018,41.878772677,-87.733796577,2018-01-11,"11","Thursday","ST","ASSAULT","26","04A","STREET"
"66",67,2018-03-30 09:23:00,"093XX S KINGSTON AVE","141B","UNLAWFUL USE OTHER FIREARM","No","No","0423","004","7",2018,41.725832689,-87.562034891,2018-03-30,"9","Friday","AVE","WEAPONS VIOLATION","48","15","STREET"
"67",68,2018-09-05 20:30:00,"037XX W DIVISION ST","0460","SIMPLE","No","No","1112","011","27",2018,41.902732917,-87.719301353,2018-09-05,"20","Wednesday","ST","BATTERY","23","08B","SIDEWALK"
"68",69,2018-04-11 18:15:00,"002XX N LA SALLE ST","0870","POCKET-PICKING","No","No","0122","001","42",2018,41.885901992,-87.632455489,2018-04-11,"18","Wednesday","ST","THEFT","32","06","CTA STATION"
"69",70,2018-03-15 21:00:00,"038XX W 58TH ST","1320","TO VEHICLE","No","No","0822","008","13",2018,41.787822751,-87.71887006,2018-03-15,"21","Thursday","ST","CRIMINAL DAMAGE","62","14","STREET"
"70",71,2018-02-19 15:30:00,"042XX W CERMAK RD","0560","SIMPLE","No","No","1013","010","22",2018,41.85146212,-87.730704218,2018-02-19,"15","Monday","RD","ASSAULT","29","08A","RESIDENCE"
"71",72,2018-04-11 16:20:00,"040XX N FRANCISCO AVE","2825","HARASSMENT BY TELEPHONE","No","No","1724","017","33",2018,41.95485733,-87.700709797,2018-04-11,"16","Wednesday","AVE","OTHER OFFENSE","16","26","RESIDENCE"
"72",73,2018-11-03 02:13:00,"069XX S DR MARTIN LUTHER KING JR DR","0486","DOMESTIC BATTERY SIMPLE","No","Yes","0322","003","6",2018,41.768533683,-87.61533261,2018-11-03,"2","Saturday","DR","BATTERY","69","08B","APARTMENT"
"73",74,2018-04-15 21:48:00,"0000X W 69TH ST","0460","SIMPLE","No","No","0731","007","6",2018,41.769185486,-87.625732415,2018-04-15,"21","Sunday","ST","BATTERY","69","08B","CTA STATION"
"74",75,2018-12-05 13:13:00,"019XX N CICERO AVE","0860","RETAIL THEFT","Yes","No","2533","025","36",2018,41.915729613,-87.746056778,2018-12-05,"13","Wednesday","AVE","THEFT","19","06","OTHER"
"75",76,2018-05-02 04:45:00,"112XX S HALE AVE","0910","AUTOMOBILE","No","No","2212","022","19",2018,41.688897751,-87.671312461,2018-05-02,"4","Wednesday","AVE","MOTOR VEHICLE THEFT","75","07","DRIVEWAY - RESIDENTIAL"
"76",77,2018-01-30 14:49:00,"099XX S YATES AVE","0470","RECKLESS CONDUCT","No","Yes","0431","004","7",2018,41.714507621,-87.564598637,2018-01-30,"14","Tuesday","AVE","PUBLIC PEACE VIOLATION","51","24","RESIDENCE"
"77",78,2018-09-26 03:01:00,"052XX W LE MOYNE ST","2826","HARASSMENT BY ELECTRONIC MEANS","No","Yes","2532","025","37",2018,41.907677322,-87.756747513,2018-09-26,"3","Wednesday","ST","OTHER OFFENSE","25","26","APARTMENT"
"78",79,2018-01-04 13:07:00,"022XX S KEELER AVE","143A","UNLAWFUL POSS OF HANDGUN","Yes","No","1013","010","22",2018,41.850830503,-87.729575987,2018-01-04,"13","Thursday","AVE","WEAPONS VIOLATION","29","15","APARTMENT"
"79",80,2018-04-02 13:42:00,"028XX N LOTUS AVE","5111","GUN OFFENDER: ANNUAL REGISTRATION","No","No","2514","025","31",2018,41.931798069,-87.762579482,2018-04-02,"13","Monday","AVE","OTHER OFFENSE","19","26","VEHICLE NON-COMMERCIAL"
"80",81,2018-10-18 23:16:00,"005XX S PULASKI RD","0320","STRONGARM - NO WEAPON","No","No","1132","011","24",2018,41.873907046,-87.725430093,2018-10-18,"23","Thursday","RD","ROBBERY","26","03","CTA PLATFORM"
"81",82,2018-03-25 18:00:00,"023XX S RIDGEWAY AVE","0486","DOMESTIC BATTERY SIMPLE","No","No","1013","010","22",2018,41.849331489,-87.71859009,2018-03-25,"18","Sunday","AVE","BATTERY","30","08B","RESIDENCE"
"82",83,2018-04-08 19:00:00,"032XX W MADISON ST","2024","POSS: HEROIN(WHITE)","Yes","No","1123","011","28",2018,41.880966488,-87.706767448,2018-04-08,"19","Sunday","ST","NARCOTICS","27","18","RESIDENCE PORCH/HALLWAY"
"83",84,2018-05-01 09:00:00,"029XX S MICHIGAN AVE","1130","FRAUD OR CONFIDENCE GAME","No","No","0133","001","2",2018,41.841825184,-87.623292218,2018-05-01,"9","Tuesday","AVE","DECEPTIVE PRACTICE","35","11","RESIDENCE"
"84",85,2018-10-07 16:00:00,"001XX W ONTARIO ST","0910","AUTOMOBILE","No","No","1832","018","42",2018,41.893223483,-87.63153437,2018-10-07,"16","Sunday","ST","MOTOR VEHICLE THEFT","8","07","STREET"
"85",86,2018-04-28 14:10:00,"017XX W 119TH ST","1812","POSS: CANNABIS MORE THAN 30GMS","Yes","No","2234","022","34",2018,41.677468647,-87.665331132,2018-04-28,"14","Saturday","ST","NARCOTICS","75","18","PARKING LOT/GARAGE(NON.RESID.)"
"86",87,2018-01-31 17:30:00,"038XX S ELLIS AVE","1320","TO VEHICLE","No","No","0212","002","4",2018,41.825071411,-87.60574538,2018-01-31,"17","Wednesday","AVE","CRIMINAL DAMAGE","36","14","VEHICLE NON-COMMERCIAL"
"87",88,2018-06-16 08:30:00,"051XX W DIVISION ST","0486","DOMESTIC BATTERY SIMPLE","No","Yes","2533","025","37",2018,41.902259861,-87.755044059,2018-06-16,"8","Saturday","ST","BATTERY","25","08B","SIDEWALK"
"88",89,2018-04-12 13:08:00,"001XX E CHICAGO AVE","0460","SIMPLE","No","No","1833","018","42",2018,41.896715933,-87.625119738,2018-04-12,"13","Thursday","AVE","BATTERY","8","08B","SIDEWALK"
"89",90,2018-05-20 17:00:00,"021XX W LUNT AVE","0910","AUTOMOBILE","No","No","2411","024","50",2018,42.008842148,-87.684651419,2018-05-20,"17","Sunday","AVE","MOTOR VEHICLE THEFT","2","07","RESIDENCE-GARAGE"
"90",91,2018-10-11 19:09:00,"043XX N PULASKI RD","0497","AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON","No","Yes","1722","017","39",2018,41.95933916,-87.727780692,2018-10-11,"19","Thursday","RD","BATTERY","16","04B","APARTMENT"
"91",92,2018-06-15 04:14:00,"005XX E 46TH PL","1330","TO LAND","No","Yes","0221","002","3",2018,41.810349031,-87.612811703,2018-06-15,"4","Friday","PL","CRIMINAL TRESPASS","38","26","APARTMENT"
"92",93,2018-10-19 20:58:00,"049XX N HARDING AVE","2022","POSS: COCAINE","Yes","No","1712","017","39",2018,41.970703694,-87.726886123,2018-10-19,"20","Friday","AVE","NARCOTICS","14","18","ALLEY"
"93",94,2018-09-04 18:00:00,"0000X E WACKER PL","1330","TO LAND","No","No","0111","001","42",2018,41.886815123,-87.625629401,2018-09-04,"18","Tuesday","PL","CRIMINAL TRESPASS","32","26","SCHOOL, PRIVATE, BUILDING"
"94",95,2018-07-11 13:58:00,"001XX S SPRINGFIELD AVE","2027","POSS: CRACK","Yes","No","1122","011","28",2018,41.879570265,-87.72318787,2018-07-11,"13","Wednesday","AVE","NARCOTICS","26","18","SIDEWALK"
"95",96,2018-08-18 16:15:00,"019XX W DIVISION ST","1130","FRAUD OR CONFIDENCE GAME","No","No","1212","012","1",2018,NA,NA,2018-08-18,"16","Saturday","ST","DECEPTIVE PRACTICE","24","11","APARTMENT"
"96",97,2018-12-08 00:42:00,"049XX W PATTERSON AVE","1710","ENDANGERING LIFE/HEALTH CHILD","No","No","1634","016","30",2018,41.94699183,-87.75090522,2018-12-08,"0","Saturday","AVE","OFFENSE INVOLVING CHILDREN","15","20","APARTMENT"
"97",98,2018-10-10 07:58:00,"062XX S HOYNE AVE","0497","AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON","No","Yes","0714","007","15",2018,41.780564857,-87.676357691,2018-10-10,"7","Wednesday","AVE","BATTERY","67","04B","RESIDENCE"
"98",99,2018-10-22 06:00:00,"006XX W OHARE ST","1812","POSS: CANNABIS MORE THAN 30GMS","Yes","No","1654","016","41",2018,NA,NA,2018-10-22,"6","Monday","ST","NARCOTICS","76","18","GOVERNMENT BUILDING/PROPERTY"
"99",100,2018-12-26 09:23:00,"047XX W ERIE ST","0486","DOMESTIC BATTERY SIMPLE","Yes","No","1111","011","28",2018,41.892297612,-87.744119215,2018-12-26,"9","Wednesday","ST","BATTERY","25","08B","RESIDENCE"
"100",101,2018-03-05 17:33:00,"040XX W MADISON ST","2170","POSSESSION OF DRUG EQUIPMENT","Yes","No","1115","011","28",2018,41.880714044,-87.726705906,2018-03-05,"17","Monday","ST","NARCOTICS","26","18","STREET"
"101",102,2018-10-27 20:00:00,"052XX W ROSCOE ST","5002","OTHER VEHICLE OFFENSE","No","No","1634","016","31",2018,41.942339209,-87.757747547,2018-10-27,"20","Saturday","ST","OTHER OFFENSE","15","26","STREET"
"102",103,2018-05-23 13:30:00,"041XX N MARINE DR","1305","CRIMINAL DEFACEMENT","No","No","1915","019","46",2018,41.956828595,-87.645973056,2018-05-23,"13","Wednesday","DR","CRIMINAL DAMAGE","3","14","SCHOOL, PUBLIC, BUILDING"
"103",104,2018-08-19 03:40:00,"026XX N KIMBALL AVE","0486","DOMESTIC BATTERY SIMPLE","Yes","Yes","1412","014","35",2018,41.928559123,-87.712203782,2018-08-19,"3","Sunday","AVE","BATTERY","22","08B","APARTMENT"
"104",105,2018-04-26 04:00:00,"034XX S ABERDEEN ST","0486","DOMESTIC BATTERY SIMPLE","No","Yes","0913","009","11",2018,41.832405446,-87.653444728,2018-04-26,"4","Thursday","ST","BATTERY","60","08B","RESIDENCE"
"105",106,2018-03-13 21:00:00,"059XX N RAVENSWOOD AVE","0890","FROM BUILDING","No","No","2012","020","40",2018,41.989781862,-87.674681585,2018-03-13,"21","Tuesday","AVE","THEFT","77","06","RESIDENCE PORCH/HALLWAY"
"106",107,2018-04-24 13:00:00,"0000X W SUPERIOR ST","0810","OVER $500","No","No","1832","018","42",2018,41.895675136,-87.628569146,2018-04-24,"13","Tuesday","ST","THEFT","8","06","PARKING LOT/GARAGE(NON.RESID.)"
"107",108,2018-06-06 22:45:00,"069XX S PEORIA ST","1150","CREDIT CARD FRAUD","No","No","0733","007","17",2018,41.76834807,-87.646925739,2018-06-06,"22","Wednesday","ST","DECEPTIVE PRACTICE","68","11","CTA BUS"
"108",109,2018-05-11 14:45:00,"012XX N CLEVELAND AVE","2027","POSS: CRACK","Yes","No","1821","018","27",2018,41.90492496,-87.641038178,2018-05-11,"14","Friday","AVE","NARCOTICS","8","18","STREET"
"109",110,2018-09-28 10:00:00,"046XX S COTTAGE GROVE AVE","0820","$500 AND UNDER","No","No","0221","002","4",2018,41.81089989,-87.606595385,2018-09-28,"10","Friday","AVE","THEFT","39","06","OTHER"
"110",111,2018-12-13 12:45:00,"007XX S KENNETH AVE","0530","AGGRAVATED: OTHER DANG WEAPON","No","Yes","1131","011","24",2018,41.871020381,-87.736472172,2018-12-13,"12","Thursday","AVE","ASSAULT","26","04A","STREET"
"111",112,2018-11-30 16:30:00,"073XX S KINGSTON AVE","0460","SIMPLE","No","No","0334","003","7",2018,41.761521751,-87.563583242,2018-11-30,"16","Friday","AVE","BATTERY","43","08B","APARTMENT"
"112",113,2018-01-13 16:59:00,"008XX E 67TH ST","0810","OVER $500","No","No","0321","003","5",2018,41.773153326,-87.604162179,2018-01-13,"16","Saturday","ST","THEFT","69","06","RESIDENCE PORCH/HALLWAY"
"113",114,2018-04-26 02:37:00,"006XX N STATE ST","0495","AGGRAVATED OF A SENIOR CITIZEN","No","No","1834","018","42",2018,41.894347054,-87.628142999,2018-04-26,"2","Thursday","ST","BATTERY","8","04B","RESTAURANT"
"114",115,2018-06-18 11:00:00,"067XX S WINCHESTER AVE","0820","$500 AND UNDER","No","Yes","0726","007","15",2018,41.771190078,-87.67248322,2018-06-18,"11","Monday","AVE","THEFT","67","06","RESIDENCE"
"115",116,2018-09-07 22:00:00,"111XX S AVENUE D","0486","DOMESTIC BATTERY SIMPLE","No","Yes","0433","004","10",2018,41.693083545,-87.528250562,2018-09-07,"22","Friday","D","BATTERY","52","08B","RESIDENCE"
"116",117,2018-12-01 09:00:00,"034XX W 26TH ST","1153","FINANCIAL IDENTITY THEFT OVER $ 300","No","No","1024","010","22",2018,NA,NA,2018-12-01,"9","Saturday","ST","DECEPTIVE PRACTICE","30","11","BANK"
